userId,timestamp,origin_lat,origin_lon,origin_category,destination_lat,destination_lon,destination_category
470,2025-05-30 09:00:00,40.777925,-73.966613,Gym / Fitness Center,40.71981,-74.002581,Arts & Crafts Store
470,2025-05-30 10:30:00,40.71981,-74.002581,Arts & Crafts Store,40.777224,-73.949465,Vegetarian / Vegan Restaurant
470,2025-05-30 12:00:00,40.777224,-73.949465,Vegetarian / Vegan Restaurant,40.774338,-73.984785,Library
470,2025-05-30 13:30:00,40.774338,-73.984785,Library,40.71981,-74.002581,Arts & Crafts Store
470,2025-05-30 15:00:00,40.71981,-74.002581,Arts & Crafts Store,40.683178,-73.965746,Sushi Restaurant
470,2025-05-30 17:00:00,40.683178,-73.965746,Sushi Restaurant,40.714905,-74.005972,BBQ Joint
470,2025-05-30 18:30:00,40.714905,-74.005972,BBQ Joint,40.763788,-73.997501,Entertainment
470,2025-05-30 20:00:00,40.763788,-73.997501,Entertainment,40.71981,-74.002581,Arts & Crafts Store
979,2025-05-30 09:00:00,40.718806,-73.993009,Office,40.718789,-73.992808,Deli / Bodega
979,2025-05-30 12:30:00,40.718789,-73.992808,Deli / Bodega,40.730836,-73.997641,Park
979,2025-05-30 13:00:00,40.730836,-73.997641,Park,40.590579,-74.066205,Beach
979,2025-05-30 15:30:00,40.590579,-74.066205,Beach,40.573935,-74.084287,Beach
979,2025-05-30 16:00:00,40.573935,-74.084287,Beach,40.7188,-73.992791,Deli / Bodega
979,2025-05-30 18:00:00,40.7188,-73.992791,Deli / Bodega,40.590579,-74.066205,Beach
69,2025-05-30 08:00:00,40.716162,-73.88307,Home (private),40.70566,-73.896446,Food & Drink Shop
69,2025-05-30 09:00:00,40.70566,-73.896446,Food & Drink Shop,40.706159,-73.896302,Bus Station
69,2025-05-30 09:30:00,40.706159,-73.896302,Bus Station,40.698624,-73.921068,School
69,2025-05-30 09:45:00,40.698624,-73.921068,School,40.759712,-73.829538,Other Great Outdoors
69,2025-05-30 15:00:00,40.759712,-73.829538,Other Great Outdoors,40.712854,-73.87896,Bar
69,2025-05-30 17:00:00,40.712854,-73.87896,Bar,40.710102,-73.862377,Gaming Cafe
69,2025-05-30 19:00:00,40.710102,-73.862377,Gaming Cafe,40.716162,-73.88307,Home (private)
69,2025-05-30 21:00:00,40.716162,-73.88307,Home (private),40.703714,-73.789092,Other Great Outdoors
69,2025-05-30 22:30:00,40.703714,-73.789092,Other Great Outdoors,40.716162,-73.88307,Home (private)
395,2025-05-30 07:00:00,40.748005,-74.008627,Gym / Fitness Center,40.643021,-73.977502,Café
395,2025-05-30 08:00:00,40.643021,-73.977502,Café,40.745868,-73.990243,Office
395,2025-05-30 09:00:00,40.745868,-73.990243,Office,40.723168,-74.003018,Restaurant
395,2025-05-30 12:30:00,40.723168,-74.003018,Restaurant,40.745868,-73.990243,Office
395,2025-05-30 13:30:00,40.745868,-73.990243,Office,40.747462,-73.993072,Office
395,2025-05-30 17:00:00,40.747462,-73.993072,Office,40.746326,-74.008624,Gym / Fitness Center
395,2025-05-30 18:00:00,40.746326,-74.008624,Gym / Fitness Center,40.759815,-73.992056,Bar
395,2025-05-30 19:30:00,40.759815,-73.992056,Bar,40.72648,-73.989095,Italian Restaurant
395,2025-05-30 21:30:00,40.72648,-73.989095,Italian Restaurant,40.760231,-73.995121,Bar
395,2025-05-30 23:00:00,40.760231,-73.995121,Bar,40.761527,-74.000217,Residential Building (Apartment / Condo)
87,2025-05-30 08:00:00,40.757533,-73.965371,Home (private),40.737885,-73.991677,Office
87,2025-05-30 08:30:00,40.737885,-73.991677,Office,40.741408,-73.988438,Burger Joint
87,2025-05-30 12:00:00,40.741408,-73.988438,Burger Joint,40.737885,-73.991677,Office
87,2025-05-30 13:00:00,40.737885,-73.991677,Office,40.737885,-73.991677,Office
87,2025-05-30 17:00:00,40.737885,-73.991677,Office,40.739386,-73.99185,Bar
87,2025-05-30 18:00:00,40.739386,-73.99185,Bar,40.743483,-73.994009,Gastropub
87,2025-05-30 20:00:00,40.743483,-73.994009,Gastropub,40.756087,-73.96759,Bar
87,2025-05-30 22:00:00,40.756087,-73.96759,Bar,40.757533,-73.965371,Home (private)
484,2025-05-30 07:30:00,40.696558,-73.953616,Home (private),40.738224,-73.996214,Subway
484,2025-05-30 08:00:00,40.738224,-73.996214,Subway,40.760581,-73.983224,Office
484,2025-05-30 08:15:00,40.760581,-73.983224,Office,40.690427,-73.954687,Food & Drink Shop
484,2025-05-30 12:00:00,40.690427,-73.954687,Food & Drink Shop,40.690327,-73.951484,Deli / Bodega
484,2025-05-30 12:30:00,40.690327,-73.951484,Deli / Bodega,40.833062,-73.874707,Gym / Fitness Center
484,2025-05-30 13:00:00,40.833062,-73.874707,Gym / Fitness Center,40.738224,-73.996214,Subway
484,2025-05-30 15:00:00,40.738224,-73.996214,Subway,40.739398,-73.99321,General Entertainment
484,2025-05-30 15:15:00,40.739398,-73.99321,General Entertainment,40.690327,-73.951484,Deli / Bodega
484,2025-05-30 17:00:00,40.690327,-73.951484,Deli / Bodega,40.696876,-73.935714,Food & Drink Shop
484,2025-05-30 18:00:00,40.696876,-73.935714,Food & Drink Shop,40.745478,-73.97781,Bar
484,2025-05-30 21:00:00,40.745478,-73.97781,Bar,40.696558,-73.953616,Home (private)
642,2025-05-30 08:00:00,40.751591,-73.974121,Coffee Shop,40.752307,-73.971854,Building
642,2025-05-30 09:30:00,40.752307,-73.971854,Building,40.74174,-73.99365,Food & Drink Shop
642,2025-05-30 11:00:00,40.74174,-73.99365,Food & Drink Shop,40.672855,-73.983155,Vegetarian / Vegan Restaurant
642,2025-05-30 12:30:00,40.672855,-73.983155,Vegetarian / Vegan Restaurant,40.647792,-74.003735,Park
642,2025-05-30 13:30:00,40.647792,-74.003735,Park,40.600223,-73.942144,Sandwich Place
642,2025-05-30 15:00:00,40.600223,-73.942144,Sandwich Place,40.736828,-73.990645,Ramen / Noodle House
642,2025-05-30 16:30:00,40.736828,-73.990645,Ramen / Noodle House,40.75625,-73.967716,Bar
642,2025-05-30 18:00:00,40.75625,-73.967716,Bar,40.633933,-73.947879,Caribbean Restaurant
642,2025-05-30 19:30:00,40.633933,-73.947879,Caribbean Restaurant,40.749323,-73.977126,Home (private)
292,2025-05-30 07:30:00,40.874081,-73.88307,Home,40.873075,-73.88679,Subway
292,2025-05-30 08:15:00,40.873075,-73.88679,Subway,40.752496,-73.98983,Office
292,2025-05-30 08:45:00,40.752496,-73.98983,Office,40.752314,-73.989784,Deli / Bodega
292,2025-05-30 12:00:00,40.752314,-73.989784,Deli / Bodega,40.752496,-73.98983,Office
