userId,timestamp,origin_lat,origin_lon,origin_category,destination_lat,destination_lon,destination_category
1000,2025-05-28 07:45:00,40.699023,-73.810015,Train Station,40.750795,-73.993576,Train Station
1000,2025-05-28 08:30:00,40.750795,-73.993576,Train Station,40.739398,-73.99321,General Entertainment
1000,2025-05-28 11:00:00,40.739398,-73.99321,General Entertainment,40.745181,-73.979436,Other Great Outdoors
1000,2025-05-28 12:45:00,40.745181,-73.979436,Other Great Outdoors,40.750795,-73.993576,Train Station
1000,2025-05-28 14:30:00,40.750795,-73.993576,Train Station,40.699023,-73.810015,Train Station
1000,2025-05-28 16:15:00,40.699023,-73.810015,Train Station,40.828277,-73.926553,Stadium
1000,2025-05-28 18:45:00,40.828277,-73.926553,Stadium,40.750795,-73.993576,Train Station
1000,2025-05-28 21:00:00,40.750795,-73.993576,Train Station,40.699023,-73.810015,Train Station
1001,2025-05-28 07:00:00,40.738681,-73.988498,Gym / Fitness Center,40.753798,-73.986815,Coffee Shop
1001,2025-05-28 08:30:00,40.753798,-73.986815,Coffee Shop,40.735282,-73.990403,Park
1001,2025-05-28 10:00:00,40.735282,-73.990403,Park,40.741862,-73.989434,Food & Drink Shop
1001,2025-05-28 11:30:00,40.741862,-73.989434,Food & Drink Shop,40.738681,-73.988498,Gym / Fitness Center
1001,2025-05-28 13:00:00,40.738681,-73.988498,Gym / Fitness Center,40.744923,-73.998036,Movie Theater
1001,2025-05-28 14:30:00,40.744923,-73.998036,Movie Theater,40.727967,-74.001984,Food & Drink Shop
1001,2025-05-28 16:00:00,40.727967,-74.001984,Food & Drink Shop,40.769538,-73.951956,Gym / Fitness Center
1001,2025-05-28 17:30:00,40.769538,-73.951956,Gym / Fitness Center,40.734852,-73.991085,Food & Drink Shop
1001,2025-05-28 19:00:00,40.734852,-73.991085,Food & Drink Shop,40.721741,-73.984806,Bar
1001,2025-05-28 20:30:00,40.721741,-73.984806,Bar,40.727186,-73.988736,Seafood Restaurant
1002,2025-05-28 07:00:00,40.898591,-73.847787,Home (private),40.898472,-73.85451,Coffee Shop
1002,2025-05-28 08:15:00,40.898472,-73.85451,Coffee Shop,40.854324,-73.867781,Gym / Fitness Center
1002,2025-05-28 09:30:00,40.854324,-73.867781,Gym / Fitness Center,40.739063,-73.986955,Church
1002,2025-05-28 11:00:00,40.739063,-73.986955,Church,40.7528,-73.977267,Restaurant
1002,2025-05-28 12:30:00,40.7528,-73.977267,Restaurant,40.89181,-73.820101,Food & Drink Shop
