userId,timestamp,origin_lat,origin_lon,origin_category,destination_lat,destination_lon,destination_category
1000,2025-05-28 07:30:00,40.699023,-73.810015,Train Station,40.750795,-73.993576,Train Station
1000,2025-05-28 08:15:00,40.750795,-73.993576,Train Station,40.739398,-73.99321,General Entertainment
1000,2025-05-28 12:45:00,40.739398,-73.99321,General Entertainment,40.750795,-73.993576,Train Station
1000,2025-05-28 14:00:00,40.750795,-73.993576,Train Station,40.699023,-73.810015,Train Station
1000,2025-05-28 17:00:00,40.699023,-73.810015,Train Station,40.828277,-73.926553,Stadium
1000,2025-05-28 19:30:00,40.828277,-73.926553,Stadium,40.699023,-73.810015,Train Station
1001,2025-05-28 07:00:00,40.738681,-73.988498,Gym / Fitness Center,40.753798,-73.986815,Coffee Shop
1001,2025-05-28 08:30:00,40.753798,-73.986815,Coffee Shop,40.736217,-73.989835,Shop & Service
1001,2025-05-28 09:30:00,40.736217,-73.989835,Shop & Service,40.734852,-73.991085,Food & Drink Shop
1001,2025-05-28 13:00:00,40.734852,-73.991085,Food & Drink Shop,40.735282,-73.990403,Park
1001,2025-05-28 15:30:00,40.735282,-73.990403,Park,40.734167,-73.990487,Movie Theater
1001,2025-05-28 18:30:00,40.734167,-73.990487,Movie Theater,40.727967,-74.001984,Food & Drink Shop
1001,2025-05-28 20:30:00,40.727967,-74.001984,Food & Drink Shop,40.721741,-73.984806,Bar
1002,2025-05-28 07:00:00,40.898591,-73.847787,Home (private),40.898472,-73.85451,Coffee Shop
1002,2025-05-28 08:30:00,40.898472,-73.85451,Coffee Shop,40.898591,-73.847787,Home (private)
1002,2025-05-28 09:15:00,40.898591,-73.847787,Home (private),40.89181,-73.820101,Food & Drink Shop
1002,2025-05-28 12:30:00,40.89181,-73.820101,Food & Drink Shop,40.898591,-73.847787,Home (private)
1002,2025-05-28 13:30:00,40.898591,-73.847787,Home (private),40.854324,-73.867781,Gym / Fitness Center
1002,2025-05-28 17:30:00,40.854324,-73.867781,Gym / Fitness Center,40.898591,-73.847787,Home (private)
1002,2025-05-28 19:00:00,40.898591,-73.847787,Home (private),40.899755,-73.857105,Caribbean Restaurant
1002,2025-05-28 20:30:00,40.899755,-73.857105,Caribbean Restaurant,40.898591,-73.847787,Home (private)
1003,2025-05-28 07:30:00,40.714481,-73.87131,Home (private),40.683339,-73.883584,Deli / Bodega
1003,2025-05-28 08:00:00,40.683339,-73.883584,Deli / Bodega,40.817783,-73.927667,Community College
1003,2025-05-28 08:30:00,40.817783,-73.927667,Community College,40.732084,-73.866328,Fast Food Restaurant
1003,2025-05-28 12:30:00,40.732084,-73.866328,Fast Food Restaurant,40.817783,-73.927667,Community College
