userId,score
1000,0.87
1001,0.87
1002,0.87
1003,0.87
1004,0.84
1005,0.86
1006,0.92
1007,0.8
1008,0.92
1009,0.9
100,0.85
1010,0.84
1011,0.92
1012,0.92
1013,0.9
1014,0.82
1015,0.85
1016,0.87
1017,0.94
1018,0.9
1019,0.95
101,0.94
1020,0.88
1021,0.84
1022,0.85
1023,0.92
1024,0.87
1025,0.93
1026,0.85
1027,0.86
1028,0.89
1029,0.86
102,0.88
1030,0.84
1031,0.85
1032,0.85
1033,0.92
1034,0.8
1035,0.82
1036,0.92
1037,0.86
1038,0.82
1039,0.82
103,0.84
1040,0.85
1041,0.8
1042,0.85
1043,0.92
1044,0.84
1045,0.92
1046,0.82
1047,0.83
1048,0.82
1049,0.85
104,0.84
1050,0.85
1051,0.85
1052,0.85
1053,0.88
1054,0.86
1055,0.9
1056,0.85
1057,0.85
1058,0.84
1059,0.81
105,0.9
1060,0.88
1061,0.84
1062,0.84
1063,0.86
1064,0.84
1065,0.86
1066,0.85
1067,0.85
1068,0.82
1069,0.85
106,0.9
1070,0.92
1071,0.8
1072,0.85
1073,0.84
1074,0.85
1075,0.85
1076,0.84
1077,0.85
1078,0.92
1079,0.8
107,0.83
1080,0.85
1081,0.82
1082,0.88
1083,0.84
108,0.84
109,0.88
10,0.9
110,0.8
111,0.84
112,0.84
113,0.84
114,0.84
115,0.85
116,0.9
117,0.84
118,0.8
119,0.86
11,0.88
120,0.92
121,0.87
122,0.84
123,0.8
124,0.9
125,0.82
126,0.86
127,0.86
128,0.85
129,0.88
12,0.9
130,0.84
131,0.85
132,0.86
133,0.92
134,0.85
135,0.88
136,0.83
137,0.82
138,0.81
139,0.84
13,0.88
140,0.85
141,0.8
142,0.84
143,0.92
144,0.85
145,0.88
146,0.84
147,0.88
148,0.95
149,0.88
14,0.84
150,0.8
151,0.86
152,0.85
153,0.82
154,0.85
155,0.84
156,0.94
157,0.84
158,0.8
159,0.84
15,0.92
160,0.84
161,0.88
162,0.84
163,0.92
164,0.88
165,0.88
166,0.82
167,0.8
168,0.85
169,0.84
16,0.85
170,0.84
171,0.85
172,0.82
173,0.85
174,0.85
175,0.85
176,0.88
177,0.85
178,0.85
179,0.84
17,0.88
180,0.86
181,0.8
182,0.86
183,0.85
184,0.84
185,0.88
186,0.89
187,0.84
188,0.8
189,0.88
18,0.85
190,0.88
191,0.85
192,0.88
193,0.84
194,0.88
195,0.83
196,0.85
197,0.85
198,0.86
199,0.83
19,0.88
1,0.85
200,0.84
201,0.8
202,0.86
203,0.87
204,0.86
205,0.88
206,0.88
207,0.82
208,0.88
209,0.89
20,0.86
210,0.92
211,0.9
212,0.82
213,0.88
214,0.8
215,0.9
216,0.84
217,0.84
218,0.89
219,0.93
21,0.8
220,0.84
221,0.8
222,0.8
223,0.85
224,0.8
225,0.84
226,0.8
227,0.82
228,0.84
229,0.85
22,0.86
230,0.8
231,0.82
232,0.88
233,0.82
234,0.84
235,0.87
236,0.86
237,0.93
238,0.86
239,0.81
23,0.82
240,0.84
241,0.8
242,0.83
243,0.8
244,0.85
245,0.85
246,0.86
247,0.84
248,0.85
249,0.88
24,0.9
250,0.92
251,0.84
252,0.85
253,0.85
254,0.87
255,0.84
256,0.87
257,0.88
258,0.87
259,0.82
25,0.82
260,0.88
261,0.85
262,0.88
263,0.88
264,0.92
265,0.85
266,0.8
267,0.88
268,0.85
269,0.84
26,0.85
270,0.85
271,0.82
272,0.85
273,0.8
274,0.92
275,0.92
276,0.84
277,0.92
278,0.92
279,0.8
27,0.85
280,0.88
281,0.82
282,0.86
283,0.82
284,0.85
285,0.8
286,0.8
287,0.9
288,0.93
289,0.94
28,0.8
290,0.9
291,0.9
292,0.85
293,0.85
294,0.87
295,0.85
296,0.87
297,0.84
298,0.88
299,0.9
29,0.84
2,0.84
300,0.88
301,0.84
302,0.9
303,0.8
304,0.88
305,0.86
306,0.88
307,0.84
308,0.8
309,0.84
30,0.88
310,0.92
311,0.85
312,0.84
313,0.88
314,0.85
315,0.84
316,0.8
317,0.9
318,0.8
319,0.86
31,0.88
320,0.84
321,0.88
322,0.84
323,0.84
324,0.8
325,0.9
326,0.9
327,0.85
328,1.0
329,0.87
32,0.88
330,0.9
331,0.94
332,0.83
333,0.8
334,0.86
335,0.87
336,0.8
337,0.86
338,0.84
339,0.84
33,0.95
340,0.82
341,0.85
342,0.88
343,0.87
344,0.85
345,0.87
346,0.84
347,0.85
348,0.88
349,0.88
34,0.87
350,0.88
351,0.84
352,0.88
353,1.0
354,0.83
355,0.84
356,0.84
357,0.88
358,0.84
359,0.92
35,0.83
360,0.8
361,0.86
362,0.9
