userId,score
1000,0.84
1001,0.82
1002,0.88
1003,0.85
1004,0.84
1005,0.85
1006,0.83
1007,0.8
1008,0.85
1009,0.84
100,0.85
1010,0.85
1011,0.82
1012,0.84
1013,0.84
1014,0.85
1015,0.8
1016,0.88
1017,0.85
1018,0.9
1019,0.9
101,0.92
1020,0.88
1021,0.86
1022,0.82
1023,0.8
1024,0.8
1025,0.86
1026,0.84
1027,0.92
1028,0.87
1029,0.86
102,0.84
1030,0.83
1031,0.8
1032,0.84
1033,0.85
1034,0.85
1035,0.84
1036,0.88
1037,0.8
1038,0.87
1039,0.86
103,0.84
1040,0.88
1041,0.9
1042,0.85
1043,0.88
1044,0.9
1045,0.87
1046,0.88
1047,0.85
1048,0.8
1049,0.85
104,0.88
1050,0.88
1051,0.92
1052,0.85
1053,0.88
1054,0.92
1055,0.85
1056,0.88
1057,0.86
1058,0.84
1059,0.92
105,0.86
1060,0.85
1061,0.84
1062,0.84
1063,0.82
1064,0.86
1065,0.87
1066,0.85
1067,0.8
1068,0.86
1069,0.82
106,0.88
1070,0.88
1071,0.88
1072,0.85
1073,0.86
1074,0.86
1075,0.83
1076,0.8
1077,0.8
1078,0.9
1079,0.85
107,0.84
1080,0.86
1081,0.84
1082,0.85
1083,0.88
108,0.86
109,0.8
110,0.85
111,0.83
112,0.88
113,0.86
114,0.9
115,0.85
116,0.85
117,0.82
118,0.9
119,0.88
11,0.84
120,0.85
121,0.88
122,0.86
123,0.84
124,0.95
125,0.9
126,0.86
127,0.9
128,0.84
129,0.8
12,0.84
130,0.86
131,0.8
132,0.82
133,0.85
134,0.83
135,0.85
136,0.85
137,0.83
138,0.85
139,0.85
13,0.85
140,0.84
141,0.84
142,0.85
143,0.88
144,0.8
145,0.84
146,0.84
147,0.84
148,0.88
149,0.85
14,0.98
150,0.86
151,0.8
152,0.87
153,0.84
154,0.84
155,0.8
156,0.83
157,0.85
158,0.84
159,0.84
15,0.8
160,0.84
161,0.84
162,0.84
163,0.86
164,0.88
165,0.88
166,0.82
167,0.84
168,0.81
169,0.92
16,0.82
170,0.88
171,0.86
172,0.92
173,0.88
174,0.94
175,0.88
176,0.84
177,0.85
178,0.88
179,0.83
17,0.85
180,0.8
181,0.84
182,0.82
183,0.84
184,0.85
185,0.85
186,0.83
187,0.87
188,0.92
189,0.82
18,0.86
190,0.84
191,0.85
192,0.88
193,0.85
194,0.85
195,0.83
196,0.88
197,0.9
198,0.82
199,0.85
19,0.86
1,0.86
200,0.85
201,0.88
202,0.83
203,0.88
204,0.84
205,0.92
206,0.82
207,0.85
208,0.91
209,0.8
20,0.85
210,0.85
211,0.88
212,0.87
213,0.82
214,0.88
215,0.85
216,0.88
217,0.85
218,0.87
219,0.84
21,0.85
220,0.85
221,0.82
222,0.82
223,0.82
224,0.88
225,0.85
226,0.9
227,0.85
228,0.92
229,0.85
22,0.8
230,0.84
231,0.88
232,0.8
233,0.87
234,0.9
235,0.87
236,0.8
237,0.87
238,0.85
239,0.88
23,0.88
240,0.88
241,0.84
242,0.83
243,0.84
244,0.94
245,0.86
246,0.88
247,0.85
248,0.85
249,0.82
24,0.85
250,0.84
251,0.85
252,0.84
253,0.86
254,0.85
255,0.89
256,0.9
257,0.86
258,0.87
259,0.91
25,0.83
260,0.82
261,0.85
262,0.86
263,0.83
264,0.85
265,0.85
266,0.88
267,0.96
268,0.86
269,1.0
26,0.88
270,0.85
271,0.82
272,0.84
273,0.85
274,0.8
275,0.82
276,0.88
277,0.9
278,0.85
279,0.84
27,0.89
280,0.85
281,0.84
282,0.85
283,0.86
284,0.84
285,0.9
286,0.88
287,0.88
288,0.94
289,0.86
28,0.84
290,0.85
291,0.85
292,0.9
293,0.85
294,0.86
295,0.86
296,0.93
297,0.82
298,0.86
299,0.8
29,0.87
2,0.85
300,0.92
301,0.8
302,0.88
303,0.85
304,0.9
305,0.8
306,0.86
307,0.83
308,0.84
309,0.82
30,0.85
310,0.85
311,0.84
312,0.9
313,0.94
314,0.84
315,0.8
316,0.87
317,0.88
318,0.85
319,0.82
31,0.87
320,0.82
321,0.84
322,0.87
323,0.84
324,0.92
325,0.83
326,0.95
327,0.83
328,0.8
329,0.82
32,0.9
330,0.85
331,0.85
332,0.81
333,0.8
334,0.88
335,0.9
336,0.86
337,0.84
338,0.83
339,0.88
33,0.84
340,0.84
341,0.85
342,0.84
343,0.84
344,0.86
345,0.87
346,0.87
347,0.88
348,0.92
349,0.85
34,0.92
350,0.88
351,0.88
352,0.84
353,0.93
354,0.9
355,0.83
356,0.84
357,0.8
358,0.84
359,0.85
35,0.85
360,0.86
361,0.82
362,0.92
363,0.92
364,0.88
365,0.84
366,0.84
367,0.86
368,0.85
369,0.9
36,0.85
370,0.8
371,0.85
372,0.85
373,0.84
374,0.88
375,0.92
376,0.9
377,0.88
378,0.92
379,0.88
37,0.85
380,0.8
381,0.9
382,0.82
383,0.84
384,0.85
385,0.85
386,0.96
387,0.88
388,0.82
389,0.84
38,0.82
390,0.92
391,0.85
392,0.88
393,0.84
395,0.87
396,0.84
397,0.85
398,0.92
399,0.84
39,0.89
3,0.82
400,0.84
401,0.82
402,0.92
403,0.84
404,0.87
405,0.88
406,0.85
407,0.82
408,0.83
409,0.88
40,0.95
410,0.84
411,0.8
412,0.85
413,0.87
414,0.84
415,0.88
416,0.84
417,0.82
418,0.8
419,0.87
41,0.88
420,0.85
421,0.84
422,0.85
423,0.86
424,0.85
425,0.84
426,0.82
427,0.86
428,0.85
429,0.9
42,0.84
430,0.86
431,0.88
432,0.84
433,0.88
434,0.86
435,0.85
436,0.9
437,0.86
438,0.9
439,0.84
43,0.9
440,0.9
441,0.88
442,0.9
443,0.8
444,0.82
445,0.8
446,0.8
447,0.86
448,0.8
449,0.82
44,0.86
450,0.84
451,0.82
452,0.84
453,0.87
454,0.9
455,0.84
456,0.82
457,0.85
458,0.83
459,0.83
45,0.84
460,0.93
461,0.85
462,0.84
463,0.85
464,0.88
465,0.88
466,0.88
467,0.88
468,0.85
469,0.85
46,0.8
470,0.87
471,0.92
472,0.86
473,0.84
474,0.82
475,0.85
476,0.84
477,0.9
478,0.85
479,0.8
47,0.84
480,0.85
481,0.82
482,0.86
483,0.8
484,0.85
485,0.82
486,0.82
487,0.92
488,0.88
489,0.86
48,0.85
490,0.88
491,0.82
492,0.85
493,0.84
494,0.84
495,0.83
496,0.88
497,0.92
498,0.87
499,0.85
49,0.85
4,0.85
500,0.88
501,0.85
502,0.85
503,0.84
504,0.84
505,0.88
506,0.87
507,0.88
508,0.85
509,0.82
50,0.86
510,0.87
511,0.9
512,0.84
513,0.8
514,0.85
515,0.88
516,0.85
517,0.88
518,0.88
519,0.85
51,0.85
520,0.84
521,0.8
522,0.88
523,0.88
524,0.88
525,0.82
526,0.87
527,0.9
528,0.8
529,0.84
52,0.9
530,0.84
531,0.86
532,0.82
533,0.88
534,0.84
535,0.8
536,0.83
537,0.84
538,0.85
539,0.85
53,0.85
540,0.88
541,0.9
542,0.88
543,0.95
544,0.8
545,0.84
546,0.8
547,0.88
548,0.88
549,0.84
54,0.85
550,0.84
551,0.88
552,0.82
553,0.8
554,0.84
555,0.85
556,0.88
557,0.84
558,0.85
559,0.84
55,0.85
560,0.92
561,0.84
562,0.88
563,0.82
564,0.88
565,0.82
566,0.9
567,0.86
568,0.85
569,0.84
56,0.85
570,0.88
571,0.86
572,1.0
573,0.88
574,0.84
575,0.84
576,0.8
577,0.85
578,0.92
579,0.85
57,0.85
580,0.84
581,0.84
582,0.92
583,0.84
584,0.8
585,0.88
586,0.86
587,0.8
588,0.85
589,0.85
58,0.85
590,0.84
591,0.9
592,0.84
593,0.84
594,0.86
595,0.84
596,0.85
597,0.88
598,0.8
599,0.88
59,0.88
5,0.88
600,0.85
601,0.82
602,0.88
603,0.84
604,0.92
605,0.84
606,0.86
607,0.8
608,0.85
609,0.84
60,0.88
610,0.85
611,0.84
612,0.83
613,0.85
614,0.84
615,0.85
616,0.9
617,0.8
618,0.8
619,0.82
61,0.9
620,0.84
621,0.86
622,0.88
623,0.88
624,0.85
625,0.84
626,0.95
627,0.84
628,0.84
629,0.84
62,0.88
630,0.8
631,0.8
632,0.85
633,0.84
634,0.83
635,0.85
636,0.82
637,0.84
638,0.82
639,0.88
63,0.9
640,0.82
641,0.8
642,0.88
643,0.92
644,0.84
645,0.84
646,0.88
647,0.87
648,0.86
649,0.82
64,0.85
650,0.88
651,0.85
652,0.8
653,0.8
654,0.88
655,0.85
656,0.88
657,0.84
658,0.85
659,0.85
65,0.88
660,0.83
661,0.9
662,0.82
663,0.84
664,0.88
665,0.9
666,0.88
667,0.82
668,0.8
669,0.84
66,0.83
670,0.85
671,0.83
672,0.92
673,0.85
674,0.9
675,0.85
676,0.88
678,0.9
679,0.82
67,0.85
680,0.82
681,0.84
682,0.82
683,0.84
684,0.8
685,0.82
686,0.85
687,0.94
688,0.9
689,0.9
68,0.86
690,0.8
691,0.82
692,0.82
693,0.84
694,0.84
695,0.88
696,0.84
697,0.82
698,0.84
699,0.85
69,0.85
6,0.8
700,0.85
701,0.84
702,0.85
703,0.92
704,0.92
705,0.89
706,0.82
707,0.88
708,0.8
709,0.83
70,0.85
710,0.84
711,0.85
712,0.88
713,0.84
714,0.96
715,0.92
716,0.84
717,0.88
718,0.82
719,0.9
71,0.8
720,0.85
721,0.89
722,0.82
723,0.85
724,0.82
725,0.84
726,0.85
727,0.85
728,0.85
729,0.82
72,0.85
730,0.9
731,0.82
732,0.84
733,0.85
734,0.85
735,0.89
736,0.84
737,0.84
738,0.82
739,0.94
73,0.88
740,0.9
741,0.92
742,0.8
743,0.86
744,0.85
745,0.85
746,0.88
747,0.85
748,0.85
749,0.8
74,0.85
750,0.88
751,0.8
752,0.86
753,0.92
754,0.9
755,0.85
756,0.88
757,0.85
758,0.85
759,0.9
75,0.9
760,0.84
761,0.82
762,0.8
763,0.84
764,0.9
765,0.8
766,0.84
767,0.85
768,0.85
769,0.84
76,0.85
770,0.8
771,0.8
772,0.88
773,0.84
774,0.86
775,0.82
776,0.83
777,0.84
778,0.84
779,0.88
77,0.8
780,0.82
781,0.84
782,0.87
783,0.8
784,0.88
785,0.83
786,0.85
787,0.85
788,0.85
789,0.8
78,0.82
790,0.8
791,0.83
792,0.86
793,0.88
794,0.88
795,0.84
796,0.92
797,0.84
798,0.84
799,0.86
79,0.84
7,0.92
800,0.85
801,0.8
802,0.8
803,0.87
804,0.83
805,0.88
806,0.92
807,0.88
808,0.84
809,0.8
80,0.84
810,0.85
811,0.89
812,0.86
813,0.86
814,0.8
815,0.86
816,0.84
817,0.85
818,0.84
819,0.87
81,0.9
820,0.8
821,0.85
822,0.85
823,0.82
824,0.86
825,0.88
826,0.92
827,0.83
828,0.85
829,0.85
82,0.83
830,0.85
831,0.86
832,0.83
833,0.88
834,0.88
835,0.84
836,0.85
837,0.82
838,0.88
839,0.85
83,0.8
840,0.82
841,0.82
842,0.9
843,0.85
844,0.88
845,0.9
846,0.86
847,0.9
848,0.83
849,0.87
84,0.83
850,0.84
851,0.8
852,0.8
853,0.85
854,0.85
855,0.84
856,0.84
857,0.85
858,0.88
859,0.85
85,0.84
860,0.84
861,0.8
862,0.88
863,0.87
864,0.84
865,0.85
866,0.85
867,0.92
868,0.85
869,0.82
86,0.86
870,0.82
871,0.8
872,0.84
873,0.87
874,0.89
875,0.86
876,0.85
877,0.9
878,0.9
879,0.85
87,0.84
880,0.85
881,0.82
882,0.84
883,0.85
884,0.85
885,0.88
886,0.82
887,0.87
888,0.86
889,0.85
88,0.85
890,0.88
891,0.84
892,0.87
893,0.84
894,0.85
895,0.88
896,0.8
897,0.84
898,0.85
899,0.82
89,0.88
8,0.84
900,0.87
901,0.84
902,0.85
903,0.86
904,0.82
905,0.84
906,0.85
907,0.92
908,0.9
909,0.8
90,0.84
910,0.86
911,0.82
912,0.84
913,0.84
914,0.84
915,0.87
916,0.84
917,0.85
918,0.88
919,0.88
91,0.9
920,0.82
921,0.84
922,0.92
923,0.85
924,0.8
925,0.8
926,0.84
927,0.84
928,0.85
929,0.88
92,0.85
930,0.85
931,0.84
932,0.85
933,0.92
934,0.85
935,0.85
936,0.85
937,0.86
938,0.85
939,0.92
93,0.8
940,0.84
941,0.85
942,0.85
943,0.88
944,0.92
945,0.88
946,0.84
947,0.85
948,0.83
949,0.88
94,0.82
950,0.85
951,0.85
952,0.9
953,0.88
954,0.8
955,0.82
956,0.83
957,0.83
958,0.91
959,0.84
95,0.88
960,0.85
961,0.85
962,0.92
963,0.84
964,0.92
965,0.9
966,0.85
967,0.85
968,0.84
969,0.85
96,0.85
970,0.84
971,0.87
972,0.92
973,0.9
974,0.83
975,0.9
976,0.85
977,0.88
978,0.82
979,0.81
97,0.8
980,0.87
981,0.84
982,0.86
983,0.84
984,0.92
985,0.86
986,0.92
987,0.85
988,0.8
989,0.8
98,0.9
990,0.8
991,0.85
992,0.86
993,0.92
994,0.88
995,0.8
996,0.84
997,0.85
998,0.8
999,0.88
99,0.84
9,0.84
