userId,score
1000,0.83
1001,0.81
1002,0.78
1003,0.79
1004,0.84
1005,0.85
1006,0.83
1007,0.83
1008,0.78
1009,0.75
100,0.87
1010,0.85
1011,0.82
1012,0.83
1013,0.78
1014,0.83
1015,0.82
1016,0.83
1017,0.8
1018,0.85
1019,0.83
101,0.85
1020,0.86
1021,0.82
1022,0.81
1023,0.83
1024,0.85
1025,0.8
1026,0.85
1027,0.8
1028,0.85
1029,0.85
102,0.82
1030,0.85
1031,0.82
1032,0.83
1033,0.87
1034,0.84
1035,0.85
1036,0.85
1037,0.82
1038,0.81
1039,0.85
103,0.82
1040,0.83
1041,0.85
1042,0.85
1043,0.87
1044,0.82
1045,0.87
1046,0.78
1047,0.8
1048,0.8
1049,0.9
104,0.85
1050,0.85
1051,0.87
1052,0.81
1054,0.83
1055,0.8
1056,0.81
1057,0.8
1058,0.85
1059,0.85
105,0.85
1060,0.75
1061,0.88
1062,0.89
1063,0.83
1064,0.87
1065,0.82
1066,0.8
1067,0.8
1068,0.84
1069,0.86
106,0.85
1070,0.82
1071,0.8
1072,0.85
1073,0.83
1074,0.79
1075,0.82
1076,0.85
1077,0.84
1078,0.85
1079,0.83
107,0.79
1080,0.88
1081,0.82
1082,0.84
1083,0.85
108,0.85
109,0.8
10,0.75
110,0.83
111,0.84
112,0.78
113,0.83
114,0.86
115,0.79
116,0.85
117,0.85
118,0.8
119,0.83
11,0.85
120,0.85
121,0.85
122,0.84
123,0.85
124,0.85
125,0.88
126,0.85
127,0.83
128,0.83
129,0.83
12,0.79
130,0.84
131,0.83
132,0.85
133,0.8
134,0.84
135,0.83
136,0.85
137,0.85
138,0.85
139,0.8
13,0.85
140,0.85
141,0.83
142,0.87
143,0.84
144,0.82
145,0.83
146,0.83
147,0.83
148,0.86
149,0.85
14,0.86
150,0.82
151,0.83
152,0.86
153,0.83
154,0.83
155,0.9
156,0.82
157,0.8
158,0.83
159,0.78
15,0.85
160,0.82
161,0.83
162,0.78
163,0.86
164,0.82
165,0.84
166,0.8
167,0.82
168,0.88
169,0.82
16,0.85
170,0.85
171,0.9
172,0.86
173,0.83
174,0.87
175,0.87
176,0.83
177,0.87
178,0.8
179,0.85
17,0.88
180,0.85
181,0.85
182,0.8
183,0.86
184,0.82
185,0.85
186,0.85
187,0.85
188,0.85
189,0.84
18,0.87
190,0.85
191,0.79
192,0.9
193,0.82
194,0.82
195,0.88
196,0.85
197,0.82
198,0.83
199,0.83
19,0.86
1,0.79
200,0.85
201,0.85
202,0.85
203,0.82
204,0.82
205,0.78
206,0.85
207,0.78
208,0.83
209,0.84
20,0.83
210,0.78
211,0.75
212,0.85
213,0.82
214,0.84
215,0.85
216,0.83
217,0.83
218,0.83
219,0.83
21,0.85
220,0.8
221,0.85
222,0.81
223,0.85
224,0.85
225,0.85
226,0.85
227,0.82
228,0.8
229,0.81
22,0.82
230,0.83
231,0.84
232,0.88
233,0.79
234,0.88
235,0.8
236,0.82
237,0.84
238,0.86
239,0.85
23,0.85
240,0.83
241,0.83
242,0.82
243,0.86
244,0.85
245,0.85
246,0.82
247,0.92
248,0.83
249,0.82
24,0.88
250,0.82
251,0.82
252,0.79
253,0.83
254,0.82
255,0.81
256,0.85
257,0.85
258,0.85
259,0.85
25,0.82
260,0.8
261,0.81
262,0.83
263,0.85
264,0.8
265,0.78
266,0.87
267,0.81
268,0.84
269,0.85
26,0.8
270,0.79
271,0.84
272,0.85
273,0.83
274,0.95
275,0.83
276,0.81
277,0.78
278,0.8
279,0.8
27,0.8
280,0.84
281,0.85
282,0.8
283,0.86
284,0.83
285,0.88
286,0.84
287,0.83
288,0.82
289,0.85
28,0.85
290,0.85
291,0.87
292,0.82
293,0.8
294,0.82
295,0.85
296,0.85
297,0.79
298,0.82
299,0.86
29,0.82
2,0.78
300,0.85
301,0.82
302,0.88
303,0.85
304,0.86
