userId,score
1000,0.85
1001,0.83
1002,0.91
1003,0.85
1004,0.86
1005,0.88
1006,0.85
1007,0.85
1008,0.89
1009,0.85
100,0.84
1010,0.9
1011,0.87
1012,0.85
1013,0.86
1014,0.88
1015,0.85
1016,0.85
1017,0.85
1018,0.88
1019,0.82
101,0.85
1020,0.86
1021,0.84
1022,0.86
1023,0.82
1024,0.84
1025,0.85
1026,0.85
1027,0.85
1028,0.85
1029,0.86
102,0.84
1030,0.88
1031,0.88
1032,0.88
1033,0.86
1034,0.86
1035,0.86
1036,0.88
1037,0.85
1038,0.86
1039,0.84
103,0.87
1040,0.84
1041,0.85
1042,0.84
1043,0.85
1044,0.85
1045,0.85
1046,0.84
1047,0.85
1048,0.88
1049,0.84
104,0.88
1050,0.86
1051,0.8
1052,0.85
1053,0.85
1054,0.88
1055,0.84
1056,0.85
1057,0.87
1058,0.85
1059,0.87
105,0.88
1060,0.86
1061,0.85
1062,0.85
1063,0.85
1064,0.85
1065,0.85
1066,0.85
1067,0.86
1068,0.85
1069,0.84
106,0.88
1070,0.86
1071,0.86
1072,0.85
1073,0.84
1074,0.85
1075,0.88
1076,0.85
1077,0.86
1078,0.85
1079,0.85
107,0.83
1080,0.88
1081,0.92
1082,0.87
1083,0.86
108,0.87
109,0.85
10,0.87
110,0.85
111,0.85
112,0.84
113,0.82
114,0.86
115,0.88
116,0.88
117,0.86
118,0.87
119,0.83
11,0.85
120,0.85
121,0.9
122,0.87
123,0.85
124,0.85
125,0.88
126,0.85
127,0.85
128,0.85
129,0.88
130,0.86
131,0.9
132,0.85
133,0.84
134,0.85
135,0.85
136,0.88
137,0.83
138,0.85
139,0.82
13,0.85
140,0.85
141,0.83
142,0.84
143,0.85
144,0.85
145,0.87
146,0.85
147,0.87
148,0.88
149,0.88
14,0.86
150,0.85
151,0.84
152,0.85
153,0.84
154,0.87
155,0.84
156,0.84
157,0.83
158,0.85
159,0.88
15,0.86
160,0.83
161,0.86
162,0.8
163,0.9
164,0.95
165,0.85
166,0.88
167,0.9
168,0.85
169,0.87
16,0.88
170,0.85
171,0.85
172,0.87
173,0.92
174,0.88
175,0.88
176,0.86
177,0.85
178,0.86
179,0.88
17,0.85
180,0.82
181,0.88
182,0.87
183,0.87
184,0.9
185,0.85
186,0.84
187,0.86
188,0.85
189,0.88
18,0.86
190,0.88
191,0.85
192,0.9
193,0.84
194,0.85
195,0.86
196,0.88
197,0.85
198,0.82
199,0.85
19,0.85
1,0.85
200,0.85
201,0.88
202,0.84
203,0.92
204,0.8
205,0.87
206,0.85
207,0.86
208,0.85
209,0.83
20,0.84
210,0.85
211,0.88
212,0.85
213,0.85
214,0.85
215,0.87
216,0.84
217,0.88
218,0.87
219,0.84
21,0.87
220,0.86
221,0.84
222,0.87
223,0.85
224,0.89
225,0.87
226,0.85
227,0.86
228,0.88
229,0.85
22,0.87
230,0.83
231,0.92
232,0.85
233,0.85
234,0.88
235,0.84
236,0.85
237,0.86
238,0.85
239,0.85
23,0.87
240,0.85
241,0.84
242,0.84
243,0.88
244,0.86
245,1.0
246,0.85
247,0.82
248,0.86
249,0.87
24,0.85
250,0.87
251,0.85
252,0.85
253,0.86
254,0.88
255,0.85
256,0.911
257,0.85
258,0.88
259,0.88
25,0.87
260,0.88
261,0.85
262,0.85
263,0.89
264,0.84
265,0.88
266,0.88
267,0.85
268,0.85
269,0.85
26,1.0
270,0.88
271,0.86
272,0.88
273,0.86
274,0.84
275,0.84
276,0.87
277,0.85
278,0.84
279,0.83
27,0.84
280,0.94
281,0.84
282,0.88
283,0.88
284,0.85
285,0.85
286,0.92
287,0.85
288,0.85
289,0.86
28,0.9
290,0.9
291,0.88
292,0.84
293,0.87
294,0.85
295,0.88
296,0.88
297,0.85
298,0.92
299,0.84
29,0.88
2,0.88
300,0.84
301,0.85
302,0.85
303,0.85
304,0.83
305,0.85
306,0.88
307,0.85
308,0.83
309,0.86
30,0.92
310,0.85
311,0.87
312,0.85
313,0.85
314,0.85
315,0.88
316,0.83
317,0.88
318,0.85
319,0.88
31,0.86
320,0.9
321,0.85
322,0.87
323,0.85
324,0.84
325,0.83
326,0.88
327,0.85
328,0.85
329,0.85
32,0.82
330,0.92
331,0.86
332,0.88
333,0.9
334,0.9
335,0.87
336,0.9
337,0.82
338,0.84
339,0.88
33,0.88
340,0.86
341,0.85
342,0.87
343,0.85
344,0.92
345,0.92
346,0.85
347,0.87
348,0.85
349,0.88
34,0.85
350,0.85
351,0.9
352,0.87
353,0.87
354,0.85
355,0.88
356,0.84
357,0.85
358,0.85
359,0.87
35,0.85
360,0.84
361,0.85
362,0.85
363,0.85
364,0.85
365,0.92
366,0.85
367,0.86
368,0.86
369,0.83
36,0.84
370,0.85
371,0.85
372,0.85
373,0.85
374,0.85
