userId,score
1000,0.78
1001,1.0
1002,0.82
1003,0.86
1004,0.88
1005,0.78
1006,0.88
1007,0.88
1008,0.88
1009,0.96
100,0.81
1010,1.0
1011,0.88
1012,0.98
1013,1.0
1014,0.91
1015,0.88
1016,0.93
1017,0.84
1018,0.95
1019,0.86
101,1.0
1020,0.88
1021,0.86
1022,0.88
1023,0.88
1024,0.78
1025,0.88
1026,0.74
1027,0.88
1028,0.88
1029,0.94
102,1.0
1030,0.88
1031,0.84
1032,0.94
1033,0.99
1034,0.88
1035,0.88
1036,0.84
1037,0.88
1038,0.88
1039,0.84
103,0.86
1040,1.0
1041,0.88
1042,0.96
1043,0.88
1044,0.92
1045,0.86
1046,0.88
1047,0.81
1048,0.88
1049,0.86
104,0.92
1050,0.86
1051,0.88
1052,0.86
1053,0.88
1054,1.0
1055,0.82
1056,0.88
1057,0.88
1058,0.88
1059,0.98
105,0.95
1060,1.0
1061,0.88
1062,0.88
1063,0.98
1064,0.92
1065,0.88
1066,0.96
1067,0.88
1068,0.86
1069,0.88
106,0.86
1070,0.94
1071,0.96
1072,0.77
1073,0.88
1074,0.68
1075,0.88
1076,0.9
1077,0.92
1078,0.86
1079,0.95
107,0.97
1080,0.82
1081,0.88
1082,0.6
1083,0.97
108,0.86
109,0.88
10,0.98
110,0.88
111,0.88
112,0.86
113,0.8
114,1.0
115,0.88
116,1.0
117,0.98
118,0.96
119,0.96
11,0.88
120,0.91
121,1.0
122,0.88
123,0.86
124,0.88
125,0.83
126,0.86
127,0.88
128,0.88
129,0.9
12,0.7
130,1.0
131,0.86
132,0.84
133,0.88
134,0.92
135,1.0
136,0.96
137,0.88
138,0.86
139,0.98
13,0.88
140,0.88
141,0.86
142,0.88
143,0.84
144,0.99
145,1.0
146,0.86
147,0.84
148,0.76
149,0.9
14,0.96
150,0.88
151,0.86
152,0.95
153,0.88
154,0.88
155,0.86
156,0.86
157,0.84
158,0.98
159,0.88
15,0.92
160,0.86
161,0.82
162,0.7
163,0.84
164,0.95
165,0.88
166,0.88
167,0.96
168,0.86
169,1.0
16,0.94
170,0.97
171,0.86
172,0.82
173,0.97
174,0.86
175,0.96
176,1.0
177,0.86
178,0.88
179,1.0
17,0.82
180,0.58
181,0.72
182,0.88
183,0.84
184,0.93
185,0.98
186,0.8
187,1.0
188,0.81
189,0.88
18,0.88
190,1.0
191,0.7
192,1.0
193,0.86
194,0.9
195,0.98
196,0.88
197,0.88
198,0.88
199,0.78
19,0.86
1,0.88
200,0.88
201,0.92
202,0.88
203,0.9
204,0.72
205,0.88
206,0.86
207,0.94
208,1.0
209,0.86
20,0.86
210,0.82
211,0.88
212,0.88
213,0.86
214,0.88
215,0.9
216,0.91
217,1.0
218,0.98
219,0.78
21,0.74
220,0.88
221,0.82
222,0.88
223,0.88
224,0.88
225,0.89
226,0.91
227,0.9
228,0.93
229,0.88
22,0.86
230,0.98
231,0.88
232,0.88
233,0.96
234,0.92
235,0.76
236,0.88
237,0.9
238,0.86
239,0.88
23,0.88
240,1.0
241,0.84
242,0.72
