userId,score
1000,0.83
1001,0.77
1002,0.78
1004,0.77
1005,0.78
1006,0.75
1007,0.76
1008,0.77
1009,0.8
100,0.84
1010,0.82
1011,0.83
1013,0.825
1015,0.78
1016,0.91
1018,0.78
1019,0.83
101,0.83
1020,0.84
1021,0.85
1022,0.76
1023,0.8
1024,0.85
1026,0.78
1028,0.78
1029,0.83
102,0.82
1030,0.77
1031,0.83
1032,0.82
1033,0.83
1036,0.8
1037,0.83
1039,0.78
103,0.8
1040,0.86
1041,0.82
1042,0.75
1043,0.82
1044,0.78
1046,0.85
1048,0.78
1049,0.81
104,0.78
1050,0.86
1052,0.78
1053,0.84
1054,0.91
1055,0.78
1056,0.86
1057,0.78
1058,0.79
1059,0.77
105,0.83
1060,0.81
1062,0.78
1063,0.75
1064,0.8
1065,0.78
1066,0.82
1067,0.83
1068,0.8
106,0.78
1070,0.82
1072,0.8
1073,0.87
1074,0.83
1075,0.76
1076,0.82
1077,0.73
1078,0.78
1079,0.8
107,0.74
1080,0.83
1081,0.8
1082,0.83
1083,0.8
108,0.77
109,0.8
10,0.78
110,0.78
111,0.78
113,0.78
116,0.83
117,0.78
118,0.78
119,0.78
11,0.84
120,0.77
121,0.8458333333333333
123,0.83
125,0.86
127,0.83
128,0.84
129,0.8
12,0.78
130,0.78
131,0.77
132,0.87
134,0.82
135,0.8
136,0.79
138,0.76
139,0.76
13,0.85
140,0.8
141,0.8
142,0.84
144,0.84
145,0.8
146,0.83
148,0.76
149,0.78
14,0.75
150,0.73
151,0.8
152,0.78
153,0.83
154,0.83
155,0.89
156,0.83
157,0.81
158,0.82
15,0.76
160,0.75
161,0.74
162,0.77
163,0.83
164,0.81
165,0.85
166,0.86
167,0.8
168,0.78
169,0.79
16,0.81
170,0.78
171,0.78
172,0.77
173,0.86
174,0.76
175,0.75
176,0.78
177,0.76
17,0.8
180,0.78
181,0.78
182,0.75
183,0.88
184,0.79
185,0.75
187,0.84
188,0.83
189,0.86
18,0.78
190,0.8
191,0.81
194,0.79
195,0.79
196,0.81
197,0.83
198,0.78
19,0.83
1,0.8
201,0.8
202,0.84
203,0.78
205,0.78
206,0.78
207,0.82
208,0.83
209,0.82
20,0.8
210,0.79
212,0.83
214,0.74
216,0.8
218,0.83
219,0.78
21,0.82
220,0.78
221,0.84
222,0.84
223,0.83
224,0.78
226,0.8
227,0.78
228,0.78
229,0.83
22,0.83
231,0.82
232,0.78
233,0.78
234,0.76
235,0.78
236,0.88
237,0.84
238,0.797
239,0.78
23,0.83
240,0.78
241,0.78
242,0.78
243,0.78
246,0.8
247,0.86
248,0.78
24,0.85
250,0.84
251,0.78
