userId,score
1000,0.88
1001,0.82
1002,0.83
1003,0.82
1004,0.88
1005,0.88
1006,0.88
1007,0.88
1008,0.88
1009,0.88
100,0.82
1010,0.83
1011,0.88
1012,0.88
1013,0.88
1014,0.88
1015,0.88
1016,0.81
1017,0.82
1018,0.88
1019,0.88
101,0.88
1020,0.88
1021,0.82
1022,0.88
1023,0.88
1024,0.88
1025,0.84
1026,0.82
1027,0.88
1028,0.88
1029,0.88
102,0.83
1030,0.875
1031,0.82
1032,0.875
1033,0.92
1034,0.82
1035,0.82
1036,0.88
1037,0.88
1038,0.83
1039,0.88
103,0.88
1040,0.875
1041,0.88
1042,0.88
1043,0.88
1044,0.82
1045,0.88
1046,0.88
1047,0.85
1048,0.88
1049,0.88
104,0.88
1050,0.88
1051,0.88
1052,0.88
1053,0.88
1054,0.76
1055,0.88
1056,0.88
1057,0.88
1058,0.88
1059,0.88
105,0.88
1060,0.88
1061,0.88
1062,0.88
1063,0.83
1064,0.88
1065,0.88
1066,0.9
1067,0.82
1068,0.82
1069,0.88
106,0.88
1070,0.88
1071,0.82
1072,0.82
1073,0.82
1074,0.875
1075,0.82
1076,0.82
1077,0.88
1078,0.88
1079,0.89
107,0.88
1080,0.88
1081,0.88
1082,0.88
1083,0.88
108,0.88
109,0.88
10,0.875
110,0.88
111,0.88
112,0.88
113,0.88
114,0.88
115,0.88
116,0.875
117,0.88
118,0.88
119,0.875
11,0.88
120,0.88
121,0.825
122,0.88
123,0.88
124,0.88
125,0.83
126,0.82
127,0.88
128,0.88
129,0.88
12,0.76
130,0.88
131,0.81
132,0.88
133,0.88
134,0.88
135,0.88
136,0.88
137,0.88
138,0.88
139,0.88
13,0.88
140,0.88
141,0.82
142,0.875
143,0.88
144,0.88
145,0.88
146,0.88
147,0.88
148,0.88
149,0.88
14,0.88
150,0.88
151,0.88
152,0.88
153,0.88
154,0.88
155,0.92
156,0.88
157,0.88
158,0.92
159,0.88
15,0.88
160,0.88
161,0.83
162,0.8
163,0.88
164,0.88
165,0.88
166,0.89
167,0.88
168,0.82
169,0.88
16,0.88
170,0.88
171,0.83
172,0.88
173,0.83
174,0.88
175,0.88
176,0.88
177,0.88
178,0.88
179,0.88
17,0.83
180,0.88
181,0.76
182,0.875
183,0.875
184,0.88
185,0.88
186,0.88
187,0.88
188,0.88
189,0.88
18,0.88
190,0.88
191,0.81
192,0.88
193,0.88
194,0.875
195,0.82
196,0.88
197,0.88
198,0.88
199,0.88
19,0.88
1,0.88
200,0.88
201,0.88
202,0.82
203,0.82
204,0.81
205,0.88
206,0.88
207,0.83
208,0.88
209,0.88
20,0.88
210,0.82
211,0.88
212,0.88
213,0.88
214,0.88
215,0.76
216,0.83
217,0.875
218,0.875
219,0.76
21,0.88
220,0.88
221,0.76
222,0.82
223,0.88
224,0.88
225,0.82
226,0.88
227,0.88
228,0.88
229,0.88
22,0.88
230,0.88
231,0.88
232,0.88
233,0.81
234,0.88
235,0.82
236,0.88
237,0.88
238,0.82
23,0.88
240,0.88
241,0.81
242,0.76
243,0.82
244,0.88
245,0.88
246,0.76
247,0.88
248,0.78
249,0.88
24,0.88
250,0.88
251,0.88
252,0.88
253,0.88
254,0.88
255,0.86
256,0.88
257,0.88
258,0.82
259,0.88
25,0.88
260,0.88
261,0.83
262,0.88
263,0.88
264,0.88
265,0.88
266,0.88
267,0.78
268,0.88
269,0.88
26,0.85
270,0.88
271,0.82
272,0.82
273,0.88
274,0.88
275,0.88
276,0.88
277,0.9
278,0.88
279,0.88
27,0.88
280,0.88
281,0.88
282,0.8
283,0.88
284,0.88
285,0.88
286,0.88
287,0.875
288,0.88
289,0.82
28,0.88
290,0.88
291,0.88
292,0.875
293,0.82
294,0.88
295,0.88
296,0.88
297,0.82
298,0.88
299,0.88
29,0.88
2,0.88
300,0.88
301,0.88
302,0.88
303,0.88
304,0.81
305,0.88
306,0.88
307,0.89
308,0.88
309,0.88
30,0.88
310,0.82
311,0.76
312,0.88
313,0.89
314,0.76
