userId,score
1000,0.84
1001,0.87
1002,0.85
1003,0.86
1004,0.86
1005,0.84
1006,0.85
1007,0.88
1008,0.87
1009,0.85
100,0.85
1010,0.87
1011,0.84
1012,0.83
1013,0.92
1014,0.87
1015,0.85
1016,0.87
1017,0.85
1018,0.87
1019,0.85
101,0.85
1020,0.89
1021,0.85
1022,0.85
1023,0.92
1024,0.87
1025,0.87
1026,0.88
1027,0.88
1028,0.85
1029,0.85
102,0.88
1030,0.88
1031,0.85
1032,0.88
1033,0.92
1034,0.86
1035,0.84
1036,0.9
1037,0.88
1038,0.86
1039,0.86
103,0.88
1040,0.88
1041,0.88
1042,0.85
1043,0.88
1044,0.85
1045,0.85
1046,0.88
1047,0.85
1048,0.87
1049,0.92
104,0.88
1050,0.85
1051,0.88
1052,0.87
1053,0.88
1054,0.85
1055,0.86
1056,0.87
1057,0.85
1058,0.86
1059,0.87
105,0.87
1060,0.85
1061,0.88
1062,0.88
1063,0.85
1064,0.87
1065,0.85
1066,0.88
1067,0.87
1068,0.84
1069,0.85
106,0.87
1070,0.85
1071,0.9
1072,0.88
1073,0.9
1074,0.87
1075,0.87
1076,0.86
1077,0.91
1078,0.95
1079,0.88
107,0.88
1080,0.92
1081,0.85
1082,0.85
1083,0.85
108,0.86
109,0.85
10,0.92
110,0.85
111,0.9
112,0.87
113,0.85
114,0.84
115,0.9
116,0.88
117,0.88
118,0.87
119,0.85
11,0.84
120,0.85
121,0.85
122,0.82
123,0.85
124,0.82
125,0.88
126,0.88
127,0.87
128,0.83
129,0.9
12,0.82
130,0.94
131,0.88
132,0.85
133,0.86
134,0.88
135,0.88
136,0.87
137,0.84
138,0.85
139,0.88
13,0.9
140,0.86
141,0.85
142,0.86
143,0.88
144,0.85
145,0.88
146,0.85
147,0.88
148,0.88
149,0.85
14,0.85
150,0.85
151,0.88
152,0.84
153,0.86
154,0.88
155,0.85
156,0.92
157,1.0
158,0.85
159,0.82
15,0.9
160,0.85
161,0.85
162,0.85
163,0.85
164,0.87
165,0.88
166,0.84
167,0.85
168,0.85
169,0.88
16,0.92
170,0.88
171,0.9
172,0.88
173,0.88
174,0.84
175,0.89
176,0.88
177,0.85
178,0.83
179,0.86
17,0.88
180,0.86
181,0.84
182,0.85
183,0.87
184,0.9
185,0.88
186,0.88
187,0.85
188,0.92
189,0.92
18,0.85
190,0.84
191,0.88
192,0.88
193,0.85
194,0.85
195,0.85
196,0.84
197,0.862
198,0.85
199,0.85
19,0.85
1,0.86
200,0.88
201,0.85
202,0.92
203,0.85
204,0.82
205,0.85
206,0.85
207,0.88
208,0.87
209,0.87
20,0.86
210,0.89
211,0.88
212,0.85
213,0.85
214,0.88
215,0.84
216,0.85
217,0.85
218,0.87
219,0.85
21,0.83
220,0.88
221,0.84
222,0.86
223,0.87
224,0.82
225,0.88
226,0.87
227,0.86
228,0.95
229,0.86
22,0.85
230,0.92
231,0.93
232,0.84
233,0.88
234,0.85
235,0.86
236,0.9
237,0.86
238,0.88
239,0.85
23,0.85
240,0.85
