userId,score
1000,0.84
1001,0.87
1002,0.85
1003,0.88
1004,0.85
1005,0.88
1006,0.88
1007,0.85
1008,0.84
1009,0.84
100,0.85
1010,0.85
1011,0.85
1012,0.86
1013,0.88
1014,0.88
1015,0.83
1016,0.88
1017,0.85
1018,0.84
1019,0.88
101,0.88
1020,0.85
1021,0.87
1022,0.85
1023,0.85
1024,0.85
1025,0.89
1026,0.85
1027,0.88
1028,0.88
1029,0.85
102,0.85
1030,0.87
1031,0.84
1032,0.85
1033,0.91
1034,0.85
1035,0.85
1036,0.87
1037,0.85
1038,0.82
1039,0.85
103,0.83
1040,0.9
1041,0.88
1042,0.88
1043,0.88
1044,0.85
1045,0.88
1046,0.85
1047,0.85
1048,0.88
1049,0.85
104,0.85
1050,0.85
1051,0.9
1052,0.84
1053,0.88
1054,0.86
1055,0.88
1056,0.85
1057,0.88
1058,0.85
1059,0.85
105,0.85
1060,0.84
1061,0.86
1062,0.85
1063,0.85
1064,0.87
1065,0.85
1066,0.88
1067,0.84
1068,0.86
1069,0.89
106,0.92
1070,0.85
1071,0.85
1072,0.84
1073,0.86
1074,0.8
1075,0.88
1076,0.85
1077,0.825
1078,0.85
1079,0.92
107,0.88
1080,0.85
1081,0.84
1082,0.85
1083,0.87
108,0.85
109,0.88
10,0.88
110,0.86
111,0.88
112,0.84
113,0.83
114,0.88
115,0.85
116,0.87
117,0.87
118,0.88
119,0.87
11,0.9
120,0.9
121,0.87
122,0.92
123,0.85
124,0.86
125,0.85
126,0.85
127,0.87
128,0.88
129,0.85
12,0.82
130,0.85
131,0.84
132,0.84
133,0.84
134,0.86
135,0.86
136,0.87
137,0.84
138,0.85
139,0.9
13,0.85
140,0.85
141,0.85
142,0.85
143,0.85
144,0.85
145,0.85
146,0.88
147,0.84
148,0.85
149,0.84
14,0.87
150,0.85
151,0.87
152,0.83
153,0.85
154,0.85
155,0.87
156,0.85
157,0.84
158,0.88
159,0.85
15,0.91
160,0.84
161,0.88
162,0.84
163,0.85
164,0.85
165,0.88
166,0.88
167,0.86
168,0.85
169,0.86
16,0.85
170,0.88
171,0.87
172,0.88
173,0.83
174,0.85
175,0.85
176,0.85
177,0.85
179,0.85
17,0.83
180,0.86
181,0.85
182,0.83
183,0.88
184,0.87
185,0.85
186,0.9
187,0.87
188,0.85
189,0.86
18,0.85
190,0.84
191,0.85
192,0.88
193,0.85
194,0.92
195,0.88
196,0.86
197,0.88
198,0.84
199,0.87
19,0.86
1,0.86
200,0.9
201,0.87
202,0.85
203,0.85
204,0.83
205,0.9
206,0.85
207,0.88
208,0.85
209,0.92
20,0.86
210,0.83
211,0.88
212,0.85
213,0.88
214,0.84
215,0.88
216,0.85
217,0.87
218,0.88
219,0.86
21,0.84
220,0.86
221,0.84
222,0.87
223,0.85
224,0.85
225,0.85
226,0.85
227,0.88
228,0.85
229,0.88
22,0.86
230,0.85
231,0.9
232,0.84
233,0.84
234,0.86
235,0.85
236,0.85
237,0.88
238,0.85
239,0.85
23,0.84
240,0.85
241,0.85
