userId,score
1000,0.85
1001,0.92
1002,0.87
1003,0.88
1004,0.85
1005,0.85
1006,0.85
1007,0.84
1008,0.88
1009,0.86
100,0.84
1010,0.9
1011,0.85
1012,0.85
1013,0.85
1014,0.87
1015,0.86
1016,0.89
1017,0.87
1018,0.89
1019,0.8
101,0.84
1020,0.87
1021,0.84
1022,0.8
1023,0.84
1024,0.84
1025,0.84
1026,0.85
1027,0.87
1028,0.85
1029,0.83
102,0.88
1030,0.88
1031,0.85
1032,0.88
1033,0.92
1034,0.82
1035,0.88
1036,0.81
1037,0.86
1038,0.82
1039,0.85
103,0.86
1040,0.9
1041,0.84
1042,0.87
1043,0.84
1044,0.84
1045,0.88
1046,0.9
1047,0.84
1048,0.85
1049,0.87
104,0.88
1050,0.82
1051,0.85
1052,0.88
1053,0.84
1054,0.85
1055,0.88
1056,0.87
1057,0.83
1058,0.9
1059,0.85
105,0.85
1060,0.85
1061,0.89
1062,0.86
1063,0.86
1064,0.87
1065,0.9
1066,0.9
1067,0.82
1068,0.84
1069,0.85
106,0.86
1070,0.85
1071,0.84
1072,0.85
1073,0.84
1074,0.85
1075,0.84
1076,0.85
1077,0.88
1078,0.86
1079,0.9
107,0.78
1080,0.85
1081,0.83
1082,0.85
1083,0.83
108,0.85
109,0.87
10,0.9
110,0.84
111,0.84
112,0.83
113,0.84
114,0.9
115,0.88
116,0.84
117,0.92
118,0.86
119,0.88
11,0.88
120,0.86
121,0.88
122,0.82
123,0.84
124,0.85
125,0.83
126,0.84
127,0.85
128,0.84
129,0.88
12,0.84
130,0.84
131,0.9
132,0.84
133,0.85
134,0.88
135,0.85
136,0.87
137,0.85
138,0.9
139,0.88
13,1.0
140,0.85
141,0.84
142,0.922
143,0.92
144,0.92
145,0.84
146,0.85
147,0.87
148,0.87
149,0.86
14,0.91
150,0.84
151,0.84
152,0.82
153,0.85
154,0.88
155,0.87
156,0.85
157,0.84
158,0.82
159,0.84
15,0.85
160,0.85
161,0.82
162,0.88
163,0.88
164,0.85
165,0.85
166,0.8
167,0.88
168,0.88
169,0.85
16,0.87
170,0.9
171,0.88
172,0.88
173,0.87
174,0.87
175,0.88
176,0.88
177,0.82
178,0.85
179,0.83
17,0.84
180,0.84
181,0.86
182,0.82
183,0.88
184,0.88
185,0.85
186,0.82
187,0.88
188,0.85
189,0.88
18,0.82
190,0.84
191,0.88
192,0.88
193,0.84
194,0.84
195,0.83
196,0.87
