userId,score
1000,0.87
1001,0.88
1002,0.85
1003,0.88
1004,0.85
1005,0.84
1006,0.85
1007,0.85
1008,0.86
1009,0.85
100,0.86
1010,0.85
1011,0.85
1012,0.85
1013,0.85
1014,0.87
1015,0.88
1016,0.88
1017,0.85
1018,0.85
1019,0.88
101,0.83
1020,0.85
1021,0.87
1022,0.82
1023,0.89
1024,0.82
1025,0.87
1026,0.85
1027,0.87
1028,0.88
1029,0.85
102,0.82
1030,0.88
1031,0.85
1032,0.85
1033,0.86
1034,0.84
1035,0.87
1036,0.85
1037,0.85
1038,0.85
1039,0.88
103,0.88
1040,0.85
1041,0.88
1042,0.88
1043,0.84
1044,0.85
1045,0.87
1046,0.87
1047,0.87
1048,0.84
1049,0.85
104,0.85
1050,0.86
1051,0.88
1052,0.85
1053,1.0
1054,0.88
1055,0.92
1056,0.84
1057,0.85
1058,0.88
1059,0.88
105,0.88
1060,0.86
1061,0.92
1062,0.86
1063,0.83
1064,0.9
1065,0.88
1066,0.85
1067,0.85
1068,0.82
1069,0.88
106,0.9
1070,0.85
1071,0.87
1072,0.82
1073,0.85
1074,0.87
1075,0.85
1076,0.87
1077,0.88
1078,0.85
1079,0.84
107,0.86
1080,0.85
1081,0.83
1082,0.87
1083,0.85
108,0.85
109,0.85
10,0.85
110,0.88
111,0.85
112,0.87
113,0.88
114,0.84
115,0.86
116,0.9
117,0.88
118,0.88
119,0.84
11,0.82
120,0.84
121,0.85
122,0.9
123,0.87
124,0.85
125,0.85
126,0.88
127,0.87
128,0.85
129,0.88
12,0.84
130,0.85
131,0.87
132,0.87
133,0.86
134,0.85
135,0.82
136,0.83
137,0.85
138,0.85
139,0.85
13,0.85
140,0.87
141,0.82
142,0.88
143,0.87
144,0.85
145,0.87
146,0.85
147,0.84
148,0.88
149,0.85
14,0.88
150,0.85
151,0.92
152,0.82
153,0.88
154,0.89
155,0.85
156,0.85
157,0.87
158,0.88
159,0.85
15,0.88
160,0.84
161,0.85
162,0.85
163,0.87
164,0.83
165,1.0
166,0.82
167,0.86
168,0.88
169,0.85
16,0.85
170,0.85
171,0.85
172,0.85
173,0.85
174,0.92
175,0.85
176,0.85
177,0.82
178,0.84
179,0.88
17,0.93
180,0.88
181,0.86
182,0.85
183,0.88
184,0.88
185,0.84
186,0.85
187,0.85
188,0.85
189,0.88
18,0.83
190,0.85
191,0.85
192,0.85
193,0.84
194,0.85
195,0.9
196,0.88
197,0.85
198,0.9
199,0.87
19,0.86
1,0.83
200,0.86
201,0.84
202,0.84
203,0.9
204,0.83
205,0.83
206,0.85
207,0.88
208,0.85
209,0.84
20,0.84
210,0.85
211,0.87
212,0.87
213,0.86
214,0.85
215,0.83
216,0.85
217,0.88
218,0.87
219,0.85
21,0.84
220,0.87
221,0.88
222,0.85
223,0.84
224,0.85
225,0.88
226,0.84
227,0.82
228,0.85
229,0.85
22,0.85
230,0.83
231,0.85
232,0.88
233,0.88
234,0.88
235,0.85
236,0.88
237,0.85
238,0.88
239,0.87
23,0.88
240,0.83
241,0.88
242,0.86
243,0.87
244,0.85
245,0.84
246,0.82
247,0.85
248,0.87
249,0.88
24,0.85
250,0.88
251,0.88
252,0.86
253,0.83
254,0.85
255,0.88
256,0.87
257,0.9
258,0.87
259,0.87
25,0.9
260,0.85
261,0.85
262,0.82
263,0.9
264,0.87
265,0.85
266,0.84
267,0.89
268,0.85
269,0.88
26,0.9
270,0.87
271,0.85
272,0.85
273,0.86
274,0.87
275,0.84
276,0.88
277,0.88
278,0.86
279,0.85
27,0.85
280,0.92
281,0.85
282,0.85
283,0.88
284,0.83
285,0.9
286,0.9
287,0.85
288,0.87
289,0.87
28,0.85
290,0.85
291,0.85
292,0.85
293,0.85
294,1.0
